VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,7/1/2015 0:00,7/1/2015 0:11,1,2.52,-73.99187469,40.75962448,1,N,-73.98355865,40.73496628,1,10,0.5,0.5,2.26,0,0.3,13.56
1,7/1/2015 0:00,7/1/2015 0:11,1,2.8,-73.97651672,40.75654602,1,N,-73.94872284,40.78751373,1,11,0.5,0.5,2.45,0,0.3,14.75
2,7/1/2015 0:00,7/1/2015 0:07,1,1.48,-74.00518799,40.74062347,1,N,-74.00339508,40.72038269,1,7,0.5,0.5,1.66,0,0.3,9.96
2,7/1/2015 0:00,7/1/2015 0:12,5,1.48,-73.95783234,40.67109299,1,N,-73.95026398,40.66233826,2,8,0.5,0.5,0,0,0.3,9.3
1,7/1/2015 0:00,7/1/2015 0:12,1,4.1,-74.01351166,40.70782089,1,Y,-73.98751068,40.7201767,1,14.5,0.5,0.5,1,0,0.3,16.8
2,7/1/2015 0:00,7/1/2015 0:12,2,2.16,-73.9861145,40.7640152,1,N,-73.97193146,40.78464127,1,10,0.5,0.5,2.82,0,0.3,14.12
2,7/1/2015 0:00,7/1/2015 0:21,1,4.24,-73.98888397,40.6925621,1,N,-73.97805023,40.7457695,2,18.5,0.5,0.5,0,0,0.3,19.8
1,7/1/2015 0:00,7/1/2015 0:12,1,0.9,-73.98766327,40.75982666,1,N,-73.97184753,40.75311661,1,9,0.5,0.5,2.05,0,0.3,12.35
2,7/1/2015 0:00,7/1/2015 0:14,1,3.19,-73.99421692,40.69054031,1,N,-73.98655701,40.72597122,1,13,0.5,0.5,2.86,0,0.3,17.16
2,7/1/2015 0:00,7/2/2015 0:00,5,3.26,-73.97579956,40.75555038,1,N,-74.00170135,40.71721649,1,13,0.5,0.5,2.86,0,0.3,17.16
2,7/1/2015 0:00,7/1/2015 0:13,2,2.88,-74.00052643,40.73008347,1,N,-73.98150635,40.76141739,2,12,0.5,0.5,0,0,0.3,13.3
2,7/1/2015 0:00,7/1/2015 0:11,1,2.52,-73.95739746,40.77445221,1,N,-73.98713684,40.77095795,1,10,0.5,0.5,0,0,0.3,11.3
1,7/1/2015 0:00,7/1/2015 0:17,1,3.6,-73.98200226,40.76950455,1,Y,-73.94727325,40.8068428,1,15.5,0.5,0.5,1,0,0.3,17.8
1,7/1/2015 0:00,7/1/2015 0:10,1,2.7,-73.99481964,40.73162079,1,N,-73.99401855,40.7600174,1,10.5,0.5,0.5,2.35,0,0.3,14.15
1,7/1/2015 0:00,7/1/2015 0:15,2,3.6,-73.98999023,40.73689651,1,N,-73.95998383,40.76788712,1,14,0.5,0.5,2,0,0.3,17.3
2,7/1/2015 0:00,7/1/2015 0:33,5,11.43,-73.98744965,40.74369049,1,N,-73.99888611,40.61435699,1,35,0.5,0.5,5,0,0.3,41.3
2,7/1/2015 0:00,7/1/2015 0:18,2,11.37,-73.86260986,40.76886368,1,N,-73.99488068,40.69496536,1,31.5,0.5,0.5,6.56,0,0.3,39.36
2,7/1/2015 0:00,7/1/2015 0:07,3,0.86,-73.98074341,40.76752853,1,N,-73.9681778,40.76522827,1,6.5,0.5,0.5,1.56,0,0.3,9.36
